ID,Date,Price
44,8602,37.19
35,5368,65.89
2,3391,40.64
47,6694,14.98
29,680,13.08
91,8900,24.59
70,3959,68.68
85,1733,28.53
53,9900,83.55
14,1505,4.32
51,3378,19.8
42,6926,57.77
2,4424,55.77
79,9291,33.17
50,3901,23.57
20,6633,6.49
15,6148,65.53
44,8331,99.19
5,3505,64.18
48,5539,32.42
47,9900,25.66
31,7570,4.16
4,7577,24.13
36,8274,88.64
57,963,57.91
12,4396,72.62
22,7161,56.06
54,7765,28.01
0,3479,97.22
88,1272,80.7
86,9254,71.9
13,4507,26.47
88,1335,29.76
42,6601,22.98
40,3083,72.95
48,6869,27.06
98,30,86.56
2,8212,20.31
51,2187,84.57
91,8363,64.42
14,5388,77.77
55,9904,40.78
95,6984,60.54
61,1696,3.92
98,5352,30.71
54,5658,30.76
27,8517,1.17
78,1085,16.96
83,8384,56.68
6,7808,42.3
26,4990,24.07
75,3585,61
25,6268,59.98
71,8232,93.3
39,7744,60.62
47,4653,2.86
60,9604,41.99
4,7236,24.66
50,1506,12.99
86,638,34.38
97,6433,9.35
7,9541,40.34
21,2001,45.77
75,553,56.05
69,9743,0.82
40,7762,85.49
37,8187,91.75
1,6725,9.99
64,3066,52.91
82,5409,87.17
72,3822,30.65
36,7712,53.92
78,1686,19.87
99,4290,17.76
13,1298,10.4
53,4338,68.68
34,4363,51.12
73,4298,60.37
49,8558,36.87
8,2826,9.68
51,8640,66.76
46,6572,23.63
23,8818,6.48
72,4358,48.23
19,8900,80.6
40,4025,18.59
49,6986,29.05
83,827,19.82
70,4491,26.25
49,6866,71.24
65,7938,64.16
46,4967,18.28
80,8540,69.51
16,6626,71.99
26,1922,28.63
29,5853,71.52
9,3182,62.76
86,4499,51.49
6,784,51.88
31,8350,53.14
22,62,39.22
4,5640,84.57
18,9105,51.04
59,1666,73.5
65,7083,23.42
18,6524,18.23
71,2461,53.53
74,12,23.42
34,1522,47.44
30,160,33.14
16,424,90.22
53,6207,25.94
85,3598,35.96
60,6446,61.15
86,4082,54.77
23,2308,27.06
91,5831,53.13
86,795,79.84
79,8200,74.86
56,5672,64.92
57,3811,82.78
90,2324,87.23
90,7298,11.4
36,6328,91.92
85,1051,23.58
55,4657,39.41
44,1919,39.54
68,8983,28.62
11,8220,92.23
95,1140,50.72
65,5129,11.76
86,6442,11.01
73,6217,58.84
57,4760,37.47
49,1496,65.19
10,987,74.45
16,1415,15.7
46,7497,35.18
41,9727,64.25
14,5998,80.53
15,5062,56.94
58,8742,1.88
65,558,33.84
37,2066,23.4
75,8818,3.52
21,606,46.11
87,4954,53.49
50,7185,13.62
47,1304,22.81
47,5544,45.38
64,9648,49.7
17,3698,91.68
60,2870,31.85
10,3471,68.65
2,9150,76.88
98,4126,54.39
7,3530,51.38
33,6721,10.8
62,5982,41.77
15,5033,88.82
46,1183,10.78
22,6885,66.88
42,3691,42.23
92,8915,45.56
41,5984,78.67
18,7180,83.23
37,2134,60.01
10,8643,89.53
76,1062,80.24
35,9477,27.8
64,9330,19.94
6,4873,44.47
73,7623,39.3
99,6566,74.37
25,8888,2.01
64,3715,89.15
73,5161,22.41
58,4014,24.83
99,1670,28.9
0,1593,59.8
82,2069,47.48
66,8021,51.27
43,1087,92.08
23,3429,62.31
22,200,22.82
80,8532,47.71
92,941,20.43
34,4257,33.83
56,7493,31.61
30,794,25.51
53,2686,47.8
2,4326,10.46
69,3008,33.77
78,4462,47.04
29,8324,50.12
62,8175,79.67
52,9639,45.35
80,5780,16.18
99,9301,32.85
74,9053,64.47
70,2522,32.77
46,1756,57.41
2,2265,93.19
77,547,80.64
42,2915,21.52
44,2682,41.88
26,6736,21.99
99,4202,53.46
81,1383,65.03
95,2830,0.11
84,8871,27.85
30,5170,25.74
8,9869,78.34
25,5231,96.36
68,8292,18.17
58,3163,42.49
57,3769,91.58
18,4019,0.1
39,1168,36.35
66,4685,17.37
2,1512,57.12
23,2106,14.04
10,6066,60.04
4,6303,40.73
39,2017,49.19
81,4791,74.6
39,8973,37.55
72,5684,43.34
26,728,78.27
71,8630,27.65
3,3431,17.83
70,7256,58.74
18,3776,68.7
64,4218,55.54
76,7704,43.94
7,3796,25.57
49,4957,27.99
23,8234,6.81
82,4136,18.29
93,2276,62.41
0,3782,47.82
97,4639,99.6
59,6781,89.07
62,4057,65.21
41,9278,73.99
82,397,99.61
27,4567,98.95
16,5461,8.86
41,2319,3.39
83,2371,3.23
77,1509,82.82
86,6817,56.61
7,400,98.41
77,8480,19.82
89,6523,38.98
17,4627,31.37
95,2896,29.38
74,5583,32.38
6,6603,10.38
97,2384,76.53
84,8846,59.21
18,3650,58.2
62,1738,96.19
90,9772,7.27
66,6527,4.46
58,5774,8.85
16,7969,47.18
45,2806,68.05
16,693,62.92
74,4512,62.65
95,4909,41.84
74,7200,86
87,9309,87.38
7,3521,63.67
69,2647,78.29
16,4376,6.48
69,8868,39.99
21,2547,43.74
